web-scraper-order,titre_poste,url,ref_offre,intitule_poste,descri_mission,profil
1720689934-31,Journaliste H/F,Journaliste H/F,Réf. : 2024-10250,Journaliste H/F,"Vous êtes en charge de la rédaction de contenus journalistiques pour les supports print et digitaux de la Ville de Nantes et de Nantes Métropole. Activités journalistiques
Production de contenu rédactionnel et journalistique pour le magazine Nantes Passion et le Journal de Nantes MétropoleRédaction de contenu pour les sites internet de la Ville de Nantes (nantes.fr) et de Nantes Métropole (nantesmetropole.fr) et réseaux sociauxValidation des articles en lien avec les chargés de communication, les conseillers techniques du Cabinet de la Maire-Présidente, les directions et les acteurs en charge des thématiques attribuées.Mise à jour des articles publiésForce de proposition pour la conception du contenu éditorial et des sommaires d'actualité des supports print et digitaux ainsi que su les formats et angles nouveaux à développer. Réalisation de reportages photo et/ou vidéo à destination des supports numériques Garant du respect, de la mise en œuvre et force de proposition pour l'optimisation des chartes éditorialesActivités de veille et de suivi thématiqueVeille et suivi thématique Animation d'un réseau interneVeille actualité multicanaleRédaction de notes de synthèse sur son domaine d’activités, de mémos sur les sujets importants de chaque sommaire du magazine Nantes Passion et du Journal de Nantes Métropole.Suivi de l’actualité nantaise, de la vie politique locale et assurer une bonne réactivité selon l’actualité du moment","De formation supérieure (niveau Bac +3 en communication, école de journalisme, universitaire), vous justifiez d’une expérience réussie idéalement sur un poste similaire au sein d’une collectivité territoriale. Votre compréhension des enjeux complexes des politiques publiques vous permettent des les éditorialiser en les rendant accessibles à tous.Vous maîtrisez les règles journalistiques et les  techniques rédactionnelles de la presse écrite et de l’écriture web. Vous avez de bonnes connaissances des techniques et technologies de l’information ainsi que des outils informatiques. Vous disposez d’autonomie, d’un bon sens de l’initiative et de la transversalité. Vous êtes organisé·e et vous êtes reconnu·e pour votre anticipation, votre enthousiasme et votre sens du relationnel."
1720689934-166,Technicien en informatique industrielle H/F,Technicien en informatique industrielle H/F,Réf. : 2024-10130,Technicien en informatique industrielle H/F,"Au sein de la DEP, le service Régulation de trafic a en charge la maîtrise d’œuvre, la conduite d'opérations  et l’exploitation relatives aux infrastructures de régulation de trafic et de supervision urbaine. Il compte 12 agents sous la responsabilité d'un chef de service.En tant que Technicien en informatique industrielle au sein du service régulation de trafic, vos missions principales sont les suivantes : Conduite du patrimoine :vous participez à l’élaboration des guides de conceptionvous assurez le suivi de l’état du patrimoine : conformité, vétusté, obsolescence
Ingénierie :Dans le cadre de la maîtrise d’œuvre, vous concevez des projets et analyses fonctionnelles des équipements (carrefour à feux, contrôle d’accès des aires piétonnes, caméras …) ; vous participez à la rédaction des dossiers de consultation des entreprises et analysez les réponses ; vous évaluez les commandes à passer ; suivez les travaux et approvisionnements ; assurez la réception des ouvragesDans le cadre de l'assistance à maîtrise d’ouvrage, vous validez les projets et analyses fonctionnelles, vous assurez les vérifications techniques et vous validez les dossiers de remise d’ouvrages
Exploitation :vous piloter les réparations, validez les mises en servicevous effectuez les diagnostics fonctionnels des équipementsvous adaptez le fonctionnement des ouvrages (choix du matériel, programmation des automates et matériels de transmission) Lieu de travail : rue de Saverne, Nantes.","De formation supérieure (à minima bac +2), vous êtes expert en informatique industrielle et électricité.Vous maitrisez les logiciels de bureautique et vous connaissez les règles de commande dans le cadre des marchés publics.Vous êtes reconnu·e pour vos qualités relationnelles et votre aptitude à travailler en équipe et en transversalité avec différents partenaires. Vous avez de bonnes capacités d’analyse et vous savez faire preuve d'initiative."
1720689954-32,APPRENTISSAGE - AGENT DE MAINTENANCE H/F,APPRENTISSAGE - AGENT DE MAINTENANCE H/F,Réf. : 2024-10282,APPRENTISSAGE - AGENT DE MAINTENANCE H/F,"La Ville de Nantes et Nantes Métropole recrutent des apprenti.e.s dans le cadre de sa campagne pour la rentrée de septembre 2024. Rattaché.e directement à votre maître d'apprentissage, vous serez formé.e au métier d'agent de maintenance et d'entretien polyvalent des locaux.  Vos missions seront les suivantes : Assurer la maintenance de 1er niveau pour l'ensemble des logementsGarantir le bon entretien des locaux et des matérielsGestion des stocksAménager les logements (transporter et monter du mobilier)Assurer l'entretien ménager des espaces collectifs des établissements","Vous êtes à la recherche d'un contrat d'apprentissage afin d'obtenir le diplôme d'agent de maintenance (niveau CAP). Vous faite preuve de rigueur, d'organisation, d'écoute et vous aimez travailler en équipe. Ces missions vous intéressent, rejoignez-vous !"
1720689954-167,Mécaniciens polyvalents ajusteurs H/F H/F,Mécaniciens polyvalents ajusteurs H/F H/F,Réf. : 2024-10446,Mécaniciens polyvalents ajusteurs H/F H/F,"Vous assurez la maintenance préventive, curative et d'amélioration des installations de l'usine de l'eau et des stations associées dans le domaine technique considéré.  

Vous assurez l’entretien des équipements. 
A ce titre, vous réalisez des travaux d’amélioration (modification et/ou rajout d’équipements), vous prenez en charge et conduisez les travaux selon les consignes du chef d’atelier.
Vous assurez l’entretien courant (vidange, niveaux, …) et réalisez les tournées d’inspection des équipements et des installations.
Vous êtes amené.e à établir les diagnostics de pannes et identifier les organes défectueux. Vous pouvez, dans ce cadre, remplacer, réparer, remonter des ensembles mécaniques (motopompes, vannes de régulation, vannes pneumatiques, …).Vous réalisez les essais avant remise en service. 
Vous êtes en mesure de réaliser des pièces simples ou organes à la demande. Vous réalisez les affûtages et entretiens des outils/du matériel.
Vous assurez le rôle de chargé.e de travaux par délégation. Vous participez à l'organisation du chantier, garantissez le niveau de consignation et déconsignation, réalisez les essais et la vérification de la réalisation.
Vous appliquez et respectez les consignes de sécurité.
Vous mettez à jour la GMAO aux différentes étapes des chantiers.
 
Lieu de travail : Usine de l'Eau La Roche - 100 Boulevard de Seattle - 44300 NANTES","Diplômé.e dans le domaine de la maintenance des équipements industriels, vous connaissez le fonctionnement des machines tournantes (pompes, moteurs, ..) et justifiez de bonnes connaissances en ajustage.

Vous êtes capable de lire un plan technique et les notices constructeurs.
Vous maîtrisez les règles de sécurité et exercez des pratiques respectueuses de l’environnement.
Adaptable, autonome, méthodique, vous appréciez le travail en équipe.
Vous faites preuve de polyvalence, de rigueur, de méthode et savez respecter les délais.
Titulaire permis B, vous ne présentez pas d’allergie connue aux produits chimiques, vous n’avez pas le vertige (travail en hauteur), vous pouvez travailler en espaces confinés et savez nager. 
Vous avez le sens de la continuité du service public."
1720689974-33,Policier municipal spécialité maître-chien (H/F) et son chien,Policier municipal spécialité maître-chien (H/F) et son chien,Réf. : 2024-9816,Policier municipal spécialité maître-chien (H/F) et son chien,"Sous la responsabilité des encadrants de la Police Municipale, vous êtes chargé·e de la bonne exécution de missions dans le cadre de la mise en œuvre des pouvoirs de police du Maire en matière de prévention et de surveillance du bon ordre, de la tranquillité, de la sécurité et de la salubrité publiques sur les horaires de soirée et sur les opérations spécifiques de journée. 
A ce titre, sous la responsabilité des encadrants de la Police Municipale, vous êtes chargé·e :
 - d’intervenir avec le chien en assistance des policiers municipaux, de respecter la doctrine d’emploi du chien, de veiller à son bien-être, de procéder à son hébergement en dehors des heures de service,- de participer à l'ensemble des missions dévolues à la police municipale, en contact étroit avec les citoyens et les partenaires institutionnels.
- de participer à la sécurisation de l'ensemble de l'espace public en luttant contre la délinquance et en assurant la protection des personnes et des biens, au moyen de patrouilles pédestres et véhiculées accompagné de votre auxiliaire canin.
 - de porter assistance-secours aux usagers et à vos collègues policiers municipaux.- de faire respecter les arrêtés municipaux et relever les infractions dans le domaine de compétence du policier municipal en fonction des instructions reçues.
- de participer au bon déroulement des manifestations exceptionnelles et opérations anti-fraudes, OSQ, place nette etc.
 - de réaliser la rédaction de mains courantes, rapports, et procès-verbaux.- d'assurer la formation continue de l’auxiliaire canin en participant aux séances d’entraînement régulier. Organisation du travail :
 70 heures sur 2 semaines, en roulement de 4 et 3 jours hebdomadaires de 10h00 du lundi au samedi.Horaires de service : 16h00 – 02h00 et variables en fonction des nécessités de service 
 Travail possible le dimanche (manifestations) sur la base du volontariat.Armement : Pistolet à impulsion électrique, Bâton Télescopique de Défense, Générateur Aérosol Incapacitant 100 et 400 ml.Matériels : Gilet pare-balle, éthylotest électronique, cinémomètre (eurolaser et truspeed) moyens radio sépura, caméra piéton axon, vidéoprotectionVéhicule : Skoda Octavia combi essence TSI 150 cv. Rémunération & avantages sociaux :La rémunération de base est celle prévue par les statuts. À cette rémunération, s’ajoutent la prime de fonction (20%).
- IAT (Indemnité d’Administration et de Technicité) à 8
- PIPCS de 50 euros brut
- NBI 15 points- sujétion canine (hébergement, nourriture, frais de garde estivale) : 350 euros brut mensuel
- Prime de service public de 1821 euros brut annuel
- Heures supplémentaires rémunérées ou récupérées 
- Carte restaurant avec participation employeur à hauteur de 60 % (montant total des valeurs TR est de 201,40€ par mois à temps complet)
- Aide aux familles 
- Comité des Œuvres Sociales : chèques vacances, culture, cinéma...
- Participation santé et prévoyance","- Expérience en unité cynophile (formation exigée).
- Détenteur ACACED si possible.- Propriétaire d’un chien de type berger malinois éduqué aux métiers de la sécurité et détenteur du passeport animal de votre auxiliaire canin.
- Capacité d’hébergement du chien au domicile de l’agent.
- Esprit collectif et cohésion.- Connaissances du domaine d'activité du Policier Municipal dans le cadre légal (pouvoirs de police du Maire) et le respect de la déontologie.
 - autonomie et esprit d'initiative avez le souci du rendre compte.- Capacité à gérer des relations conflictuelles et sens du service public.- Capacités rédactionnelles.- Disponibilité.
 - Bonne condition physique."
1720689974-168,Technicien QSE H/F,Technicien QSE H/F,Réf. : 2024-10454,Technicien QSE H/F,"Au sein du service QSE composé de cinq personnes et sous l’autorité de la responsable Qualité-Sécurité-Environnement, vous assistez, conseillez les services dans le domaine QSE. Vous proposez et mettez en œuvre les actions de communication interne adéquates.
Vous évaluez les risques santé, sécurité au travail et environnementaux pour mise à jour du document unique et suivi des actions.
Vous évaluez les exigences réglementaires et normatives à partir d’un outil de veille réglementaire incluant le suivi des actions de mise en conformité.
Vous  accompagnez la mise en œuvre des mesures de prévention et des règles en matière d’hygiène, sécurité et environnement dont analyse des accidents, 1/4 heure sécurité, expérimentation de matériels....
Vous réalisez des audits internes, des visites terrains et des tests de Situation Urgence.
Vous développez des actions d’animation, de formation et de communication interne (flash HSE, accueil sécurité, …).
Vous réalisez le bilan annuel sécurité DOPEA qui participe à la certification.
Vos domaines d’expertise : les risques dans le domaine de l’hygiène et la sécurité et notamment dans les domaines techniques et industriels.
Vous avez un rôle d'assistance et de conseil auprès des services. Vous pilotez des projets transversaux.
Vous assurez une polyvalence au sein du service QSE sur des actions transversales qualité/sécurité/environnement.
Vous avez un rôle de référent.e du système de management.
 
Lieu d'exercice : Usine de l'eau La Roche - 100 Boulevard de Seattle - 44300 NANTES","Titulaire d’un diplôme BAC+2 dans le domaine de l’hygiène et la sécurité complété idéalement d’une formation certifiante en HSE, vous disposez d’une expérience significative dans ce domaine et connaissez l’organisation et le fonctionnement des collectivités sur la gestion globale du cycle de l'eau.
Une expérience des systèmes de management associés aux normes ISO 9001, ISO 14001, ISO 45001, les risques dans les domaines de l'environnement, de l'hygiène et de la sécurité, les textes législatifs et réglementaires applicables serait appréciée. 
Vous maîtrisez l'outil informatique Libre Office (Writer, Calc, Impress) et de logiciels spécifiques (Mindjet, publisher, sphinx)."
1720689994-34,Psychologue H/F,Psychologue H/F,Réf. : 2024-10222,Psychologue H/F,"Rattaché.e à la responsable du service psychologie du travail, vous accompagnez des agents en reclassement et inaptitude médicale à leur poste de travail, dans la phase de deuil du métier et remobilisation au travail.
De plus, vous assurez une évaluation des situations de souffrance au travail par des entretiens individuels. Enfin, vous procédez à des interventions de type post-traumatique.Dans le cadre de l'accompagnement des agents dans leurs parcours professionnels, suite inaptitude ou reclassement 
- Accompagner l'agent déclaré inapte à son poste, dans un travail de deuil du métier et de reprise d'activité professionnelle- Identifier et diagnostiquer les ressources, potentiels et contraintes des agents- Assurer l’animation de temps collectifs à destination des agents concernés 
Dans le cadre du dispositif mal-être au travail 
- Mener des entretiens individuels auprès d'agents déclarant une situation de mal être au travail- Être en mesure d'apporter un 1er niveau d'analyse sur des situations individuelles ou collectives de conflit au travail- Proposer un débriefing individuel ou collectif suite à un événement traumatique survenu dans un contexte de travail- Analyser les données recueillies lors des interventions, pour alimenter le plan de prévention des RPS","Titulaire d’un Master II en psychologie du Travail, vous maîtrisez les enjeux et les problématiques de ressources humaines dans les grandes collectivités ainsi que les principes de management, de sociologie des organisations et d’accompagnement du changement. Vous êtes sensibilisé.e à la clinique de l’activité ou approche clinique de l’activité ainsi qu'à la psychotraumatologie au travail. Sachant analyser des situations individuelles complexes et proposer des réponses adaptées, vous connaissez le pilotage de projets et d'activité. Rompu.e à la conduite d’entretiens, vous savez faire preuve d'écoute et dispenser des conseils individualisés. Appréciant le travail en équipe pluridisciplinaire, vous respectez le secret et la déontologie professionnels."
1720689994-169,Agent d'entretien multi-accueil Petite Enfance H/F,Agent d'entretien multi-accueil Petite Enfance H/F,Réf. : 2024-9149,Agent d'entretien multi-accueil Petite Enfance H/F,"L’agent d’entretien assure l’entretien et garantit l’hygiène de l’environnement de l’enfant dans un ou plusieurs établissements d’accueil petite enfance par des techniques de nettoyage adaptées, dans le respect des règles d’hygiène et de sécurité.Entretien et hygiène de l'ensemble des locaux du multi-accueilEntretien du lingeParticipation à la préparation de repas, réchauffage et réfrigération des aliments, distribution et entretien du lieu de repasPossibilité de faire des remplacements pendant 4 ansOuverture des multi-accueils du lundi au vendredi avec nécessité de pouvoir travailler sur tous les horaires: 7h30/15h45, 8h30/16h45, 9h30/17h45 et 10h15/18h30.","Compétences :Connaissance des règles d’hygiène générale des locaux (aération, nettoyage, rangement)Connaissance du fonctionnement des appareils utilisés (machines à laver, appareils de cuisine…)Connaissance des produits utilisés, des consignes d’utilisation (dosage, conservation…) et des règles de sécuritéConnaissance des principes de base de la méthode HACCPÊtre capable de travailler en équipe.Adaptation de son activité au fonctionnement de l’établissement et aux aléas.Savoir rendre compte de son travail auprès de son responsable et s’informer sur les modalités de fonctionnement interne.Métier accessible sans diplôme."
1720690014-35,Apprentissage - Gestionnaire paie carrière H/F,Apprentissage - Gestionnaire paie carrière H/F,Réf. : 2024-10289,Apprentissage - Gestionnaire paie carrière H/F,"La Ville de Nantes et Nantes Métropole recrutent des apprenti·e·s dans le cadre de sa campagne pour la rentrée de septembre 2024.  Rattaché·e directement à votre maître d'apprentissage, vous serez accompagné·e et formé·e sur les missions de Gestionnaire paie carrière.Vos missions seront:Gérer la carrière des agents en respectant le statut de la fonction publique.Gérer la paie.Rédiger les arrêtés.Gérer les avancements d'échelon ou de grade.Participer à différentes campagnes (SFT, temps partiel, ...)","Vous êtes en recherche d'un contrat en apprentissage dans le cadre d'un Bac professionnel ou d'un Bac +2 gestionnaire administratif.Vous avez une bonne maîtrise des outils de bureautique (word, excel ou équivalent) ainsi qu'une bonne expression écrite et orale.Vous êtes rigoureux.se, discret.e et à l'écoute. Vous vous reconnaissez dans ces missions, rejoignez-nous !"
1720690034-36,"Chargé.e d'opération infrastructures, réseaux et voirie H/F","Chargé.e d'opération infrastructures, réseaux et voirie H/F",Réf. : 2024-10292,"Chargé.e d'opération infrastructures, réseaux et voirie H/F","Sous l’autorité du responsable de l’Unité Études et Travaux (UET) et au sein d’une équipe de 7 agents, vous êtes principalement en charge de la conduite d’opérations ou de la maîtrise d’œuvre de projets d’aménagement de l’espace public (l’UET est en charge de la réalisation d’un plan d’investissement d’environ 25 à 30 M€ sur 5 ans).
Dans ce cadre, vous serez amené à superviser les prestations de maîtres d’œuvre externes dans le cadre de la loi MOP, à assurer le suivi des procédures de validation des projets et à communiquer sur ces projets.Vous assurez une veille sur des procédés et des techniques innovants.En position de maître d’œuvre interne, vous conduisez les études (en recourant au bureau d’études de l’unité) et le suivi des travaux d’aménagement des espaces publics. Vous produisez les pièces techniques des DCE et assurez l’analyse des offres jusqu’à leur présentation en CAO. Vous assurez le suivi et le pilotage général des chantiers jusqu’aux opérations préalables à la réception.","De formation BAC+2 génie civil ou similaire, vous disposez d’une connaissance et d’une expérience en projets d’aménagement d’espace public. Vous avez des connaissances affirmées en Voirie Réseaux Divers et sécurité sur les chantiers. Vous détenez également des connaissances en marchés publics (travaux et maîtrise d’œuvre).La connaissance de procédures environnementales tels que dossier loi sur l’eau, étude d’impact, serait un plus.Vous maîtrisez les logiciels bureautiques usuels, et connaissez les outils de DAO.Doté-e de bonnes qualités relationnelles, vous appréciez le travail en équipe et en transversalité. Enfin, vous êtes titulaire du permis B et êtes disponible pour participer occasionnellement à des réunions publiques en soirée. 
Lieu de travail : 6 rue Marie Curie à Vertou – Horaire du service : 8h30 à 12h30 et 13h30 à 17h30"
1720690054-37,Canalisateur TP (Travaux Publics) H/F,Canalisateur TP (Travaux Publics) H/F,Réf. : 2024-10301,Canalisateur TP (Travaux Publics) H/F,"Nous recherchons des canalisateurs. trices  pour des postes à pourvoir immédiatement.

Sous la responsabilité du responsable de secteur vos missions seront :Réaliser les travaux et d’interventions sur l’ensemble du réseau d'eau potable, dans le respect des règles de sécurité.Prendre en charge les pièces et matériels et mettre en place la signalisation pour les chantiers.Utiliser des engins vibrants (marteau piqueur, pilonneuse…).Réaliser les terrassements, après marquage des réseaux, et remblaiements avec les moyens de compactage adéquats.Effectuer le montage des pièces et appareils, remplacer les compteurs, procéder à des manœuvres d’appareils sur le réseau, à des dépannages et des réparations.Conduire des engins BTP.Participer aux activités de nettoyage, d’entretien et de rangement du matériel, des véhicules et/ou d’engins.La continuité de service pour la distribution de l’eau potable vous engage à réaliser des astreintes et à intervenir en horaires décalés.

 Clément est plombier canalisateur pour Nantes Métropole. Découvrez son métier en vidéo","Être de formation CAP/ BEP constructeur en canalisation ou plombier.Avoir des connaissances des pièces réseau et des techniques en VRD.Maîtriser les règles de sécurité, notamment en matière de signalisation, et d’entretien de matériel thermique et pneumatique.Être titulaire du permis B (éventuellement E) et des autorisations de conduite d’engins BTP.Être capable d’effectuer des montages de pièces réseau, de lire un plan.Avoir un bon sens relationnel, savoir travailler en équipe. Ces missions vous intéressent, rejoignez-nous !"
1720690074-38,Chargé de mission animation transversale du projet de direction H/F,Chargé de mission animation transversale du projet de direction H/F,Réf. : 2024-10298,Chargé de mission animation transversale du projet de direction H/F,"Dans le cadre du projet de direction, vous intervenez en appui au directeur des Sports dans la conduite et le déploiement du projet de direction.
Vous travaillez au développement d'une culture de la transversalité en concevant et animant un dispositif dédié.
Enfin vous organisez et animez la fonction de communication interne.A ce titre,vous accompagnez le directeur des sports dans toutes les étapes de pilotage et d'animation du projet de directionSuivi et animation des temps relatifs au plan d'actions produit par le G13, conduite d'entretiens individuels ou collectifsMaîtrise du planning de déploiement des actions, animation du projet dans sa duréeRédaction du projet, supervision des intervenants internes sur les différentes thématiquesAnimation interne du projet, priorisation des projets, etc.vous développez un mode de collaboration interne, mode de fonctionnement transversalAnimation du mode de recueil et de partage de l'information au sein de la direction et développement d'une fonction ressourcesDéfinition et mise en œuvre de dispositions ou dispositifs d'animation et de collaboration avec les partenaires internes et externesAccompagnement de la mise en œuvre du projet de direction en proposant des process et procédures partagésPréparation des temps managériaux types séminaires ou journée de la direction ainsi que des réunions de rentrée (Réunions avec les cadres, encadrants et agents)vous animez la communication interneIdentification des besoins en matière de communication interne et managériale et définition d'une stratégie de communicationRédaction du journal interneProposition, conception et réalisation de projets liés à la thématique Sports (forum emploi, économie, promotion, etc.)Développement et gestion des ressources multimédias en lien avec le service communication.","De formation supérieure, vous possédez une connaissance approfondie des enjeux et des problématiques de management voire management du sport Vous disposez de qualités relationnelles et d’écoute pour travailler en partenariat et en mode projet avec des interlocuteurs variés, tant en interne à la direction des sports qu’avec les partenaires internes à la collectivité et partenaires externes. 
Vous maîtrisez les outils de communication interne et disposez d'une expérience en accompagnement de cadres de direction et en pilotage de projets.
Membre du comité de direction, vous contribuez à la construction et au déploiement des collectifs de travail.
Vous savez être force de propositions, négocier et prendre des décisions."
1720690094-39,Apprentissage - Conseiller de prévention H/F,Apprentissage - Conseiller de prévention H/F,Réf. : 2024-9048,Apprentissage - Conseiller de prévention H/F,"La Ville de Nantes et Nantes Métropole recrutent des apprenti·e·s dans le cadre de sa campagne pour la rentrée de septembre 2024.  Rattaché·e directement à votre maître d'apprentissage, vous serez accompagné·e et formé·e sur les missions de Conseiller.e de préventionVos missions seront:Mettre à jour le document unique d'évaluation des risques au sein des directions parcours de vie des ainés et inclusion sociale du CCAS.Identifier les risques et prioriser en vue d'établir un plan d'action de prévention.Contribuer à la réalisation d'actions de prévention en lien avec les risques repérés (formation ou sensibilisation), formaliser par des procédures ou consignes, ...Contribuer à l'évaluation des risques psycho-sociaux, en fonction des besoins et au regard de la maturité professionnelle de l'apprenti.","Vous êtes en recherche d'un contrat en apprentissage dans le cadre d'un L3 Hygiène, Sécurité et Environnement / L3 de sociologie / Bachelor QHSE en 1 anVous avez une bonne maîtrise du logiciel bureautique Libre Office (traitement de texte, tableur, présentation) ainsi qu'un socle de  connaissances en matière des risques professionnels.Vous êtes curieux.se, avez des capacités relationnelles et d'animation. Vous vous reconnaissez, rejoignez-nous !"
1720690114-40,Directeur d'EHPAD H/F,Directeur d'EHPAD H/F,Réf. : 2024-10303,Directeur d'EHPAD H/F,"Sous l’autorité de la Responsable des établissements médico-sociaux de la Direction Parcours de Vie des Ainés, vous assurez la direction d’un établissement d’hébergement pour personnes âgées dépendantes et d’une unité d’accueil de jour indépendante pour certains établissements. Pour cela : Vous formalisez et mettez en œuvre le projet d’établissement et la démarche qualité dans le cadre du Contrat Pluriannuel d’Objectifs et de Moyens (CPOM) en définissant les orientations stratégiques adaptées au public accueilli et les moyens nécessaires.En tant que Responsable d’établissement, vous assurez la prise en charge globale des résidents et veillez à la qualité des prestations sur les plans de l’hébergement, de la sécurité et des soins en mettant en œuvre un projet individualisé pour chaque résident.Vous appliquez la politique de lutte contre la maltraitance, du contrôle du droit des usagers et de l’éthique de la prise en charge.En véritable expert, vous identifiez et adaptez les besoins aux demandes du public visé et aux services tout en assurant la relation avec les familles.En lien avec les autres établissements, vous animez au quotidien des démarches et des réunions par thèmes.
Avec les partenaires du secteur, votre réseau de soin et vos équipes, vous mettez en place un projet de soins.En tant que garant, vous veillez au respect des règles de sécurité, d’hygiène et des conditions de travail de vos collaborateurs.Vous pilotez et assurez le suivi du budget prévisionnel dans le respect des finances allouées.Vous dirigez et accompagnez les services, dans une logique de transversalité et mobilisez vos équipes en les responsabilisant.Vous êtes dans une démarche de veille active dans le domaine législatif, réglementaire, et sécuritaire.","Issu.e d’une formation universitaire de type Master 2, vous justifiez d’une première expérience en gestion d’établissements médico-sociaux.Vos connaissances du cadre législatif, réglementaire et des politiques publiques associées à la gérontologie seront nécessaires.Le diplôme CAFDES serait un plus.*De plus, votre goût pour une action de terrain, votre capacité à établir une relation de proximité en passant par le dialogue, votre adaptabilité relationnelle et vos talents d’animateur seront indispensables pour renforcer les liens avec vos équipes, les autres établissements, les acteurs du secteur et construire avec eux un partenariat de confiance.  Le poste vous intéresse, rejoignez-nous !"
1720690134-41,Apprentissage - Gestionnaire GMAO  H/F,Apprentissage - Gestionnaire GMAO  H/F,Réf. : 2024-9069,Apprentissage - Gestionnaire GMAO  H/F,"La Ville de Nantes et Nantes Métropole recrutent des apprenti·e·s dans le cadre de sa campagne pour la rentrée de septembre 2024. Rattaché·e directement à votre maître d'apprentissage, vous serez accompagné·e et formé·e sur les missions de Gestionnaire GMAOVos missions seront:Développer la Gestion de Maintenance Assistée par Ordinateur du secteur Maintenance en lien avec le Département Ressources Numériques.Référencer les matériels présents sur les différents sites dans la GMAO (notice, phot, réglage,...) suite visites terrain.Créer des gammes avec des différentes opérations à réaliser dans le cadre de la maintenance en lien avec les différents secteurs d'activité.Proposer après étude des pistes d'amélioration liées à la GMAO.","Vous êtes en recherche d'un contrat en apprentissage dans le cadre d'une 3ème année en BUT ou Licence Pro Maintenance Industrielle.Vous avez une bonne maîtrise des outils numériques existants. Vous êtes force de proposition, organisé.e et avez une bonne capacité d’analyse. Ces missions vous intéressent, rejoignez-nous !"
1720690155-42,Gestionnaire administratif et comptable H/F,Gestionnaire administratif et comptable H/F,Réf. : 2024-10295,Gestionnaire administratif et comptable H/F,"Rattaché·e à la Responsable de la Cellule de gestion, vous assurez le suivi administratif et comptable des engagements financiers pris au titre de la politique Habitat en faveur du parc privé et du parc social.Vos activités principales :• Assurer le suivi administratif et comptable des subventions Nantes Métropole en faveur du parc privé (notamment aides au logement locatif conventionné, aides en OPAH et primes thermiques) :◦    Préparer les décisions de financement en fonction des délégations et les conventions ;◦    Gérer l'ensemble du processus de notification des aides ;◦    Gérer l'aspect comptable jusqu’au pré-mandatement (demande création de tiers, saisie Coriolis…) ;◦     Préparer les copies (et dans le cadre de la dématérialisation : les scans, le renommage de documents et l'enregistrement sur réseau), nécessaires pour le pré-mandatement◦    Renseigner les particuliers bénéficiaires ;◦    Remplir les tableaux de bord au fur et à mesure des étapes afin de garantir une information la plus fiable possible. • Assurer le suivi administratif et comptable des subventions Nantes Métropole et des subventions de l’État (dans le cadre de la délégation des aides à la pierre) pour le parc social :◦    Préparer les décisions de financement Nantes Métropole et les conventions de participation financières ;◦    Gérer l'ensemble du processus de notification des aides État et Nantes Métropole ;◦    Assurer le reporting auprès de la DDTM et des bailleurs ;◦    Procéder à l'engagement des dépenses pour Nantes Métropole et l’Etat ;◦    Traiter la demande d’acompte ou de solde du parc social◦   Gérer l’aspect comptable jusqu’au pré-mandatement◦   Renseigner les tableaux de bord au fur et à mesure des étapes afin de garantir une information la plus fiable possible.◦    Traiter les décisions de clôture pour la partie État selon procédure établie.D’autre part, vous êtes amené·e à assurer la gestion administrative des demandes de garanties d'emprunts des bailleurs sociaux en interface avec la mission contrôle de gestion. Lieu de travail : Immeuble Magellan – 5 rue Vasco de Gama à NantesLes entretiens se dérouleront à la rentrée 2024. (le poste à pourvoir fin d'année 2024).","Vous possédez une première expérience significative sur ce type de poste, idéalement acquise en collectivité.Vous êtes doté(e) de compétences en matière budgétaire.Vous disposez de connaissances des différents dispositifs relatifs au parc privé, des modalités de financement du parc social ainsi que des procédures de validation et de notification des décisions de financement pour le parc privé et celles pour le parc social (notamment la délégation des aides à la pierre de l’État).Reconnu(e) pour votre sens de l’organisation et votre rigueur, vous savez travailler avec méthodologie et savez prioriser.Agile dans l’utilisation des outils numériques, la pratique du logiciel Coriolis est souhaitée.Faisant preuve d’aisance dans l’expression écrite, vous êtes également reconnu(e) pour votre sens du contact et du dialogue. Vous appréciez le travail d’équipe et en transversalité.Enfin, vous savez faire preuve de discrétion professionnelle et respectez le devoir de réserve."
